Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/10  20:00:00,944720737.4,430281449.5,0,2624785.127,16404984.7,0,575790924.3
 01/10  21:00:00,1007435562,404090549.8,0,2358286.408,13575694.67,0,554254033.9
 01/10  22:00:00,936973321.4,377452985.9,0,4705254.452,15041082.4,0,591437555.6
 01/10  23:00:00,728785920.6,426471443.7,0,388839.7003,12319131.77,0,580113800.9
 01/10  24:00:00,507546256.9,514877918.9,0,0,7082672.052,0,481528176.6
 01/11  01:00:00,347437625.6,520311394.2,0,192381.7345,5519462.174,0,458492974.9
 01/11  02:00:00,324299617.6,514582281.9,0,0,4280324.751,0,58602692.44
 01/11  03:00:00,302507730.3,513572669.3,0,0,4198939.96,0,58533736.11
 01/11  04:00:00,303756507.2,510940304.1,0,372325.6041,4348904.655,0,58545806.04
 01/11  05:00:00,331930420.7,518132804.6,0,838298.1983,5519756.068,0,71332459.51
 01/11  06:00:00,424800155.9,520840632.8,0,2509407.852,6911343.474,0,116555256.7
 01/11  07:00:00,756360463.5,472871048.4,0,3022522.229,13667214.22,0,194513603.6
 01/11  08:00:00,867840968,468738200.9,0,0,16336237.49,0,271168590.8
 01/11  09:00:00,716993389.6,514646827.4,0,0,15122235.31,0,222922216.8
 01/11  10:00:00,631471475.4,284923219.2,0,0,12319234.07,0,153954040.6
 01/11  11:00:00,396603055.3,318409333.1,0,0,11064393.92,0,119657538.5
 01/11  12:00:00,407738940,289621163.3,0,1429483.319,12345072.25,0,116733888
 01/11  13:00:00,403671157.7,254964614,0,1520279.714,10819278.47,0,127037914.6
 01/11  14:00:00,398093764.9,219905587.4,0,744671.5956,9720519.532,0,87797307.04
 01/11  15:00:00,399447784.2,221348252.4,0,1759802.938,8328761.194,0,87122746.94
 01/11  16:00:00,400935335.8,234813256.1,0,1559947.56,8329068.34,0,87001263.46
 01/11  17:00:00,580301293.9,428682752.1,0,24967561.98,8214178.348,0,98656315.18
 01/11  18:00:00,705155290.6,416860169.5,0,10691918.14,10918785.03,0,520013947
 01/11  19:00:00,902299986.3,366899939.8,0,10869823,15122075.94,0,591818483
 01/11  20:00:00,955567110.6,328914983.3,0,10664050.94,16336714.57,0,567882300
 01/11  21:00:00,1020533214,298452960.4,0,12494326.21,13763587,0,556484808.9
 01/11  22:00:00,948834644.6,284201926.8,0,13024613.91,14939620.52,0,614780740
 01/11  23:00:00,737899501.4,319263815.2,0,6046561.627,12345603.12,0,550680317
 01/11  24:00:00,505974851.4,388679362.4,0,593657.9704,6937248.185,0,509307260
 01/12  01:00:00,344285107.2,409983896.1,0,192197.3773,5521645.79,0,432962819.1
 01/12  02:00:00,321565776.2,419911666.7,0,0,4348376.337,0,58847163.71
 01/12  03:00:00,300936908.3,412144431,0,372740.1666,4136112.978,0,58549215.12
 01/12  04:00:00,308437089.2,398093860.2,0,2239046.174,4343671.284,0,58548996.18
 01/12  05:00:00,334835823.1,399626686.6,0,2319772.773,5521850.52,0,96840573.85
 01/12  06:00:00,421570905.7,408441445,0,2474036.345,7082892.301,0,117250801
 01/12  07:00:00,752842313.9,369205290.6,0,2928927.176,13635750.17,0,194534128.5
 01/12  08:00:00,872741132.2,327635961.5,0,3815978.927,16405008.99,0,251625888.5
 01/12  09:00:00,719420042.1,342007339.7,0,1891765.466,14939601.04,0,234950921.3
 01/12  10:00:00,638718672.3,221186643.8,0,1498588.231,12345075.66,0,159704560.6
 01/12  11:00:00,404985144.3,305496401.3,0,1891729.732,10969471.82,0,119494230.6
 01/12  12:00:00,407738096.1,320704699.3,0,1403770.21,12319086.42,0,116688661.2
 01/12  13:00:00,404120622.8,324449252.7,0,1501156.735,11087588.32,0,104243610.1
 01/12  14:00:00,395168343.5,328279094.3,0,0,9521056.901,0,110447107.1
 01/12  15:00:00,393981454.9,363337658.1,0,0,8281391.552,0,87047008.54
 01/12  16:00:00,407548009.8,363853681.6,0,2298681.133,8328513.651,0,87021025.65
 01/12  17:00:00,564319503.1,627933243.8,0,2029086.786,8328308.878,0,98643280.22
 01/12  18:00:00,703395769.6,553302512.9,0,2285486.267,11037498.71,0,510464613
 01/12  19:00:00,899934394.1,511398914.2,0,3116593.956,14939568.78,0,587244967.3
 01/12  20:00:00,952528286.9,498834126.1,0,2356641.165,16405620.68,0,582452421.5
 01/12  21:00:00,1015950197,488875322.2,0,2372596.27,13587099.15,0,548629499.9
 01/12  22:00:00,942238929.6,483777579.9,0,1937960.388,15122207.52,0,612913906.2
 01/12  23:00:00,731676935.4,542208900.3,0,0,12319356.7,0,560417230.5
 01/12  24:00:00,517514269.9,683569661.9,0,0,6908080.245,0,496696694.3
 01/13  01:00:00,359385472.9,675810138.6,0,193134.514,5683318.928,0,445583483.3
 01/13  02:00:00,336428476.6,678678975.9,0,0,4130794.409,0,58861090.2
 01/13  03:00:00,315626645.2,706444923.5,0,0,4348590.711,0,58541316.69
 01/13  04:00:00,315573138.1,731398608.4,0,0,4207183.78,0,58554259.92
 01/13  05:00:00,350887004.1,731322564.8,0,0,5669511.132,0,97045123.4
 01/13  06:00:00,438539075.7,732695644.3,0,0,6837742.379,0,102744249.2
 01/13  07:00:00,776538835.2,688882454.6,0,3082339.411,13771904.72,0,207998446.1
 01/13  08:00:00,885857898.2,800455094,0,0,16336528.8,0,256942426.4
 01/13  09:00:00,727644863.4,760089968,0,0,15121968.66,0,209890573.7
 01/13  10:00:00,633124827.5,451528659,0,0,12319194.4,0,166165317.3
 01/13  11:00:00,400368481.3,510271255.8,0,0,10861858.06,0,136453193
 01/13  12:00:00,405975012.8,460099628,0,0,12346602.42,0,116555509.6
 01/13  13:00:00,400373111.8,427223213.8,0,0,10985931.64,0,100210633.2
 01/13  14:00:00,399060698.1,486537802.7,0,0,9749956.791,0,106618596.5
