Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly)
 01/11  04:00:00,1880445201,1115960597,249104601.8,115806681.2,378860.2631,0,60436078.3
 01/11  05:00:00,1880012268,1129721369,247044574.2,115769190,189410.7908,0,60439095.9
 01/11  06:00:00,1907404839,1145869384,254034919.1,115785249,189397.9895,0,35505874.61
 01/11  07:00:00,1916980660,1353699072,255483084.8,115764676.7,189446.0265,0,72054127.07
 01/11  08:00:00,2647039085,1241919547,252097051.4,115717870.8,2333508.717,0,88925473.36
 01/11  09:00:00,3396167295,1091524869,253638580.2,115747048.2,6920221.388,0,346671089.8
 01/11  10:00:00,3566514006,1062950597,170390091.3,116156161.2,8008377.689,0,389410414.7
 01/11  11:00:00,3562401220,1028391042,172787195.9,116423384.5,9518709.12,0,378643012.7
 01/11  12:00:00,3560936836,931338654.1,170819156.3,116606956,9783437.086,0,414743675.8
 01/11  13:00:00,3408014231,801988468.7,170874198.4,116923617,8692896.76,0,383018258.6
 01/11  14:00:00,3573375789,728261562.6,171786306.3,117291800.8,9986663.129,0,403054304.1
 01/11  15:00:00,3571827182,706900038,172639689,117517654.9,9305099.352,0,402258562.7
 01/11  16:00:00,3552634947,724457607.2,173009259.8,117473936.1,9001115.754,0,152834989.2
 01/11  17:00:00,2735401785,978149216.8,172192004.9,117227692,7646043.913,0,121093188.2
 01/11  18:00:00,2733369413,1103460554,170683919.9,117066677,4878899.752,0,88949740.42
 01/11  19:00:00,2405133859,996676192.3,228029325.7,116321191.6,2364811.192,0,73038940.94
 01/11  20:00:00,2412738914,965742224.9,228036201.9,116314965.6,2364688.863,0,61299184.11
 01/11  21:00:00,2417177356,952068080.5,226836459.8,116355471.9,2364928.283,0,61306063.51
 01/11  22:00:00,2271365144,957879392,229191261.1,116325325.1,1407600.447,0,60788361.68
 01/11  23:00:00,2198531932,1002346015,232395994,116252181.9,262247.9744,0,72095269.82
 01/11  24:00:00,1867920941,1108699016,234487439.6,116181317,189360.4247,0,60440078.44
 01/12  01:00:00,1866352264,1094752723,234213818.9,116141534.3,189334.1625,0,35510048.14
 01/12  02:00:00,1883344195,1090941202,232074545.5,116172248.5,189411.9348,0,60440830.47
 01/12  03:00:00,1927227751,1068378124,225666044.6,116300128.9,378790.8836,0,72057318.97
 01/12  04:00:00,1958093483,1036636163,220505613.8,116420748.1,189438.3203,0,35510333.49
 01/12  05:00:00,1957761988,1060238130,221194935.7,116426746.3,189425.31,0,60441559.46
 01/12  06:00:00,1966879958,1108043624,227686996.1,116354847.3,189412.1833,0,60439939.21
 01/12  07:00:00,1972319631,1218770239,233303778.1,116288999.2,189398.7268,0,47128193.33
 01/12  08:00:00,2690958799,1019736848,232718959.2,116216555.2,2333402.041,0,88627564.13
 01/12  09:00:00,3436943778,779335453.6,231274012.7,116309361.3,6920086.474,0,366830582.4
 01/12  10:00:00,3651241640,803012371.2,174518920,117451107.6,8029834.367,0,369469902.6
 01/12  11:00:00,3645856374,815292784.6,170090548.2,117319496.4,9518744.569,0,401798513.3
 01/12  12:00:00,3654068580,817826549.3,170159959.2,117318198.8,9783346.697,0,403899979.1
 01/12  13:00:00,3498013797,826163029.5,170094952.2,117315412.6,8692813.944,0,371884346
 01/12  14:00:00,3647659050,827706573.2,170193285.2,117365947.6,9883338.678,0,403054895.4
 01/12  15:00:00,3601457179,846668614.9,170631926.8,117287555.2,9413548.534,0,402761333.3
 01/12  16:00:00,3584723246,873093109.9,170900082.8,117147745.7,9001316.663,0,152971495.9
 01/12  17:00:00,2761468662,1137610260,172223543.8,116937406.1,7630117.392,0,121339327.9
 01/12  18:00:00,2829457138,1295877546,171544995,116683913.2,4863333.11,0,89294407.43
 01/12  19:00:00,2527409694,1203595441,249771102.7,115890113.9,2364993.69,0,73188659.01
 01/12  20:00:00,2604436167,1144965670,262689958.1,115727127.7,2364922.705,0,86673601.87
 01/12  21:00:00,2641010823,1121009301,267728442,115631184.1,2364775.541,0,61301497
 01/12  22:00:00,2503083532,1122063745,270817946.6,115559666.3,1490125.934,0,57590710.1
 01/12  23:00:00,2423678990,1129819909,273361912.8,115456429.6,189321.5842,0,50174500.93
 01/12  24:00:00,2083047414,1214964147,281671491.6,115215206.2,189375.6524,0,60460620.07
