Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 04/23  13:00:00,161387425.9,43728484.57,0,674447.8739,82517173.07,34467320.35,108947883.6,108947883.6,0,,,,,,,,,,,,,,,,,,,
 04/23  14:00:00,161095335,43728484.57,0,382357.0009,82517173.07,34467320.35,63267178.82,63267178.82,0,,,,,,,,,,,,,,,,,,,
 04/23  15:00:00,160944781.6,43728484.57,0,231803.6505,82517173.07,34467320.35,34187385.94,34187385.94,0,,,,,,,,,,,,,,,,,,,
 04/23  16:00:00,160849263.6,43728484.57,0,136285.6172,82517173.07,34467320.35,12766736.56,12766736.56,0,,,,,,,,,,,,,,,,,,,
 04/23  17:00:00,124582417.1,43709159.33,0,11318.8359,55011448.72,25850490.26,51343143.52,51343143.52,0,,,,,,,,,,,,,,,,,,,
 04/23  18:00:00,88853551.12,43728484.57,0,385682.0214,27505724.36,17233660.18,124558277.7,124558277.7,0,,,,,,,,,,,,,,,,,,,
 04/23  19:00:00,28217853.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  20:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  21:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
 04/23  22:00:00,43096653.66,0,0,0,6876431.089,6462622.566,0,0,0,,,,,,,,,,,,,,,,,,,
