Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/05  13:00:00,227460593,40467253.93,0,0,157859268.4,29134070.73,361284657.3,361284657.3,0,,,,,,,,,,,,,,,,,,,
 01/05  14:00:00,250296969.2,39929462.66,0,0,177591676.9,32775829.57,293950920.1,293950920.1,0,,,,,,,,,,,,,,,,,,,
 01/05  15:00:00,249759177.9,39391671.39,0,0,177591676.9,32775829.57,267669879.8,267669879.8,0,,,,,,,,,,,,,,,,,,,
 01/05  16:00:00,249848465.2,39480958.7,0,0,177591676.9,32775829.57,265107875.6,265107875.6,0,,,,,,,,,,,,,,,,,,,
 01/05  17:00:00,271174377.9,39391671.39,0,0,177591676.9,32775829.57,287878036.3,287878036.3,0,,,,,,,,,,,,,,,,,,,
 01/05  18:00:00,120245325.5,14358264.54,0,0,59197225.64,14567035.36,288688064.6,288688064.6,0,,,,,,,,,,,,,,,,,,,
 01/05  19:00:00,69892025.8,14395058.41,0,0,19732408.55,3641758.841,345198415,345198415,0,,,,,,,,,,,,,,,,,,,
 01/05  20:00:00,74987029.83,19490062.44,0,0,19732408.55,3641758.841,467935916.9,467935916.9,0,,,,,,,,,,,,,,,,,,,
 01/05  21:00:00,71700490.93,16203523.55,0,0,19732408.55,3641758.841,430835660.3,430835660.3,0,,,,,,,,,,,,,,,,,,,
 01/05  22:00:00,76904495.22,21407527.83,0,0,19732408.55,3641758.841,552002869.2,552002869.2,0,,,,,,,,,,,,,,,,,,,
 01/05  23:00:00,73045296.53,17548329.14,0,0,19732408.55,3641758.841,496704116.6,496704116.6,0,,,,,,,,,,,,,,,,,,,
 01/05  24:00:00,78179948.29,22682980.9,0,0,19732408.55,3641758.841,611490185,611490185,0,,,,,,,,,,,,,,,,,,,
 01/06  01:00:00,74143754.69,18646787.3,0,0,19732408.55,3641758.841,556324561.4,556324561.4,0,,,,,,,,,,,,,,,,,,,
 01/06  02:00:00,79525481.2,24028513.81,0,0,19732408.55,3641758.841,673448227.1,673448227.1,0,,,,,,,,,,,,,,,,,,,
 01/06  03:00:00,75043832.33,19546864.94,0,0,19732408.55,3641758.841,604281581.6,604281581.6,0,,,,,,,,,,,,,,,,,,,
 01/06  04:00:00,80766527.47,25269560.08,0,0,19732408.55,3641758.841,738581742.4,738581742.4,0,,,,,,,,,,,,,,,,,,,
 01/06  05:00:00,76291246.52,20794279.13,0,0,19732408.55,3641758.841,674124300.9,674124300.9,0,,,,,,,,,,,,,,,,,,,
 01/06  06:00:00,81948323.08,26451355.69,0,0,19732408.55,3641758.841,798068626.1,798068626.1,0,,,,,,,,,,,,,,,,,,,
 01/06  07:00:00,95964221.32,40467253.93,0,0,19732408.55,3641758.841,944891724.2,944891724.2,0,,,,,,,,,,,,,,,,,,,
 01/06  08:00:00,148313282.3,40467253.93,0,0,78929634.19,18208794.21,881420713.9,881420713.9,0,,,,,,,,,,,,,,,,,,,
 01/06  09:00:00,207728184.5,40467253.93,0,0,138126859.8,29134070.73,790112302.7,790112302.7,0,,,,,,,,,,,,,,,,,,,
 01/06  10:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,685893040.3,685893040.3,0,,,,,,,,,,,,,,,,,,,
 01/06  11:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,594275763.1,594275763.1,0,,,,,,,,,,,,,,,,,,,
 01/06  12:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,523644321.9,523644321.9,0,,,,,,,,,,,,,,,,,,,
 01/06  13:00:00,227460593,40467253.93,0,0,157859268.4,29134070.73,511096554.7,511096554.7,0,,,,,,,,,,,,,,,,,,,
 01/06  14:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,487447174,487447174,0,,,,,,,,,,,,,,,,,,,
 01/06  15:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,485669607.2,485669607.2,0,,,,,,,,,,,,,,,,,,,
 01/06  16:00:00,250834760.4,40467253.93,0,0,177591676.9,32775829.57,500449645.5,500449645.5,0,,,,,,,,,,,,,,,,,,,
 01/06  17:00:00,272249960.4,40467253.93,0,0,177591676.9,32775829.57,566221277.6,566221277.6,0,,,,,,,,,,,,,,,,,,,
 01/06  18:00:00,126615809.2,20728748.19,0,0,59197225.64,14567035.36,600712485.4,600712485.4,0,,,,,,,,,,,,,,,,,,,
 01/06  19:00:00,75467420.45,19970453.07,0,0,19732408.55,3641758.841,662461477.5,662461477.5,0,,,,,,,,,,,,,,,,,,,
 01/06  20:00:00,82480007.07,26983039.68,0,0,19732408.55,3641758.841,836932089.7,836932089.7,0,,,,,,,,,,,,,,,,,,,
 01/06  21:00:00,77669341.09,22172373.7,0,0,19732408.55,3641758.841,772814802.6,772814802.6,0,,,,,,,,,,,,,,,,,,,
 01/06  22:00:00,84186641.43,28689674.04,0,0,19732408.55,3641758.841,923655615.2,923655615.2,0,,,,,,,,,,,,,,,,,,,
 01/06  23:00:00,78666162.27,23169194.88,0,0,19732408.55,3641758.841,822144440.5,822144440.5,0,,,,,,,,,,,,,,,,,,,
 01/06  24:00:00,84916147.85,29419180.46,0,0,19732408.55,3641758.841,957572752.7,957572752.7,0,,,,,,,,,,,,,,,,,,,
 01/07  01:00:00,79378571.13,23881603.74,0,0,19732408.55,3641758.841,858179883,858179883,0,,,,,,,,,,,,,,,,,,,
 01/07  02:00:00,85612935.24,30115967.86,0,0,19732408.55,3641758.841,992598212.7,992598212.7,0,,,,,,,,,,,,,,,,,,,
 01/07  03:00:00,79964617.69,24467650.3,0,0,19732408.55,3641758.841,892555553.3,892555553.3,0,,,,,,,,,,,,,,,,,,,
 01/07  04:00:00,86302106.1,30805138.72,0,0,19732408.55,3641758.841,1035676856,1035676856,0,,,,,,,,,,,,,,,,,,,
 01/07  05:00:00,80664716.51,25167749.12,0,0,19732408.55,3641758.841,936037568.3,936037568.3,0,,,,,,,,,,,,,,,,,,,
 01/07  06:00:00,86747343.65,31250376.26,0,0,19732408.55,3641758.841,1077227631,1077227631,0,,,,,,,,,,,,,,,,,,,
 01/07  07:00:00,81381364.66,25884397.28,0,0,19732408.55,3641758.841,986149804.8,986149804.8,0,,,,,,,,,,,,,,,,,,,
 01/07  08:00:00,74549021.32,40467253.93,0,0,19732408.55,3641758.841,1318811832,1318811832,0,,,,,,,,,,,,,,,,,,,
 01/07  09:00:00,67483180.16,40467253.93,0,0,19732408.55,7283517.682,1184149808,1184149808,0,,,,,,,,,,,,,,,,,,,
 01/07  10:00:00,102392069.8,40467253.93,0,0,47357780.51,14567035.36,1018535213,1018535213,0,,,,,,,,,,,,,,,,,,,
 01/07  11:00:00,102392069.8,40467253.93,0,0,47357780.51,14567035.36,883096739.6,883096739.6,0,,,,,,,,,,,,,,,,,,,
 01/07  12:00:00,102392069.8,40467253.93,0,0,47357780.51,14567035.36,788208583.5,788208583.5,0,,,,,,,,,,,,,,,,,,,
 01/07  13:00:00,63841421.32,40467253.93,0,0,19732408.55,3641758.841,737356969.3,737356969.3,0,,,,,,,,,,,,,,,,,,,
 01/07  14:00:00,63841421.32,40467253.93,0,0,19732408.55,3641758.841,679792262.4,679792262.4,0,,,,,,,,,,,,,,,,,,,
 01/07  15:00:00,63841421.32,40467253.93,0,0,19732408.55,3641758.841,660463777,660463777,0,,,,,,,,,,,,,,,,,,,
 01/07  16:00:00,63841421.32,40467253.93,0,0,19732408.55,3641758.841,684833004.4,684833004.4,0,,,,,,,,,,,,,,,,,,,
 01/07  17:00:00,60945901.98,21510334.6,0,0,19732408.55,3641758.841,641744916.7,641744916.7,0,,,,,,,,,,,,,,,,,,,
 01/07  18:00:00,75932465.51,20435498.13,0,0,19732408.55,3641758.841,682252022.3,682252022.3,0,,,,,,,,,,,,,,,,,,,
 01/07  19:00:00,83121942.71,27624975.32,0,0,19732408.55,3641758.841,870556706.3,870556706.3,0,,,,,,,,,,,,,,,,,,,
 01/07  20:00:00,78277172.09,22780204.7,0,0,19732408.55,3641758.841,806100592.6,806100592.6,0,,,,,,,,,,,,,,,,,,,
 01/07  21:00:00,84835333.34,29338365.95,0,0,19732408.55,3641758.841,960530731.4,960530731.4,0,,,,,,,,,,,,,,,,,,,
 01/07  22:00:00,79479237.79,23982270.41,0,0,19732408.55,3641758.841,876932853,876932853,0,,,,,,,,,,,,,,,,,,,
 01/07  23:00:00,85823272.73,30326305.35,0,0,19732408.55,3641758.841,1015071841,1015071841,0,,,,,,,,,,,,,,,,,,,
 01/07  24:00:00,80020777.73,24523810.34,0,0,19732408.55,3641758.841,907391825.8,907391825.8,0,,,,,,,,,,,,,,,,,,,
