Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 10/04  08:00:00,116579143.5,28252739.55,0,0,65675713.81,22650690.18,165636706.3,165636706.3,0,,,,,,,,,,,,,,,,,,,
 10/04  09:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,63687459.5,63687459.5,0,,,,,,,,,,,,,,,,,,,
 10/04  10:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,6925254.956,6925254.956,0,,,,,,,,,,,,,,,,,,,
 10/04  11:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  12:00:00,176336578.4,28252739.55,745238.0234,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  13:00:00,187591695.5,28252739.55,12000355.12,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  14:00:00,200772305.4,28252739.55,25180965.08,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  15:00:00,209631905.1,28252739.55,34040564.75,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  16:00:00,208132225.7,28252739.55,32540885.38,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  17:00:00,199885102.3,28252739.55,24293761.97,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  18:00:00,172515401.9,28252739.55,12001302.7,0,78810856.57,25886503.07,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  19:00:00,175940956.9,28252739.55,1644857.694,0,78810856.57,25886503.07,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  20:00:00,157951712.4,28252739.55,26568.8188,0,65675713.81,22650690.18,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  21:00:00,80559537.06,0,0,0,26270285.52,12943251.53,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  22:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  23:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/04  24:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  01:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  02:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  03:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  04:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  05:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  06:00:00,75746936.7,28252739.55,0,0,6567571.381,6471625.766,139951822.6,139951822.6,0,,,,,,,,,,,,,,,,,,,
 10/05  07:00:00,67466276.61,28252739.55,0,0,26270285.52,12943251.53,94110623.32,94110623.32,0,,,,,,,,,,,,,,,,,,,
 10/05  08:00:00,116579143.5,28252739.55,0,0,65675713.81,22650690.18,35154878.56,35154878.56,0,,,,,,,,,,,,,,,,,,,
 10/05  09:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  10:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  11:00:00,178443645.9,28252739.55,2852305.558,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  12:00:00,191370302.9,28252739.55,15778962.54,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  13:00:00,201806301.4,28252739.55,26214960.99,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  14:00:00,208824585,28252739.55,33233244.63,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  15:00:00,208275881.3,28252739.55,32684540.92,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  16:00:00,202755159,28252739.55,27163818.67,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  17:00:00,195764429.7,28252739.55,20173089.31,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  18:00:00,170197309.2,28252739.55,9683209.975,0,78810856.57,25886503.07,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  19:00:00,175042467.4,28252739.55,746368.2131,0,78810856.57,25886503.07,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  20:00:00,157925143.5,28252739.55,0,0,65675713.81,22650690.18,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  21:00:00,80559537.06,0,0,0,26270285.52,12943251.53,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  22:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  23:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/05  24:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  01:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  02:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  03:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  04:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  05:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  06:00:00,75746936.7,28252739.55,0,0,6567571.381,6471625.766,119824545.8,119824545.8,0,,,,,,,,,,,,,,,,,,,
 10/06  07:00:00,67466276.61,28252739.55,0,0,26270285.52,12943251.53,78791954.92,78791954.92,0,,,,,,,,,,,,,,,,,,,
