FullServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),hospital,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),LargeHotel,Cooling:Electricity [J](Hourly),Gas:Facility [J](Hourly),LargeOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MediumOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),MitriseAppartment,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),OutPatient,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),PrimarySchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),QuickServiceRest,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SecondSchool,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallHotel,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SmallOffice,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),Stand-aloneRetail,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),StripMall,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),SuperMarket,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly),WareHouse,Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly)
248973688.8,33144.96602,248940543.8,2714282574,1214475643,1499806930,2629707526,271772893.5,2357934633,4501252549,0,4501252549,89038163.03,0,89038163.03,356489041.5,0,356489041.5,451471358.6,32599587.82,418871770.8,826353936.5,11780.85037,826342155.6,114216533.7,0,114216533.7,4854114342,4574.309684,4854109768,93276098.92,8834007.726,84442091.19,34948826.37,0,34948826.37,585381012,0,585381012,591568390.2,0,591568390.2,1025391763,0,1025391763,483477450.2,0,483477450.2
217839649.6,0,217839649.6,2668793046,1261609412,1407183634,2347524635,229658287.3,2117866348,3816757961,0,3816757961,75043977.39,0,75043977.39,339909094,0,339909094,438996246.8,35703588.94,403292657.8,711245022.6,0,711245022.6,96181640.02,0,96181640.02,4453978268,0,4453978268,91129098.77,8867084.285,82262014.48,27926908.3,0,27926908.3,534694636.5,0,534694636.5,534915873.5,0,534915873.5,947493467.3,0,947493467.3,435111442.5,0,435111442.5
192096446.6,0,192096446.6,2611183374,1269734437,1341448937,2347166453,232814440.2,2114352013,4049316908,0,4049316908,70023069.45,0,70023069.45,332985830.5,0,332985830.5,427259357.1,38655605.34,388603751.8,692563986.4,0,692563986.4,86793191.58,0,86793191.58,4324539215,0,4324539215,86995759.56,8338254.568,78657504.99,28224693.99,0,28224693.99,506390865.1,0,506390865.1,501796520.1,0,501796520.1,921846119.5,0,921846119.5,422856484,0,422856484
219625367.6,0,219625367.6,2521480483,1177734419,1343746065,2456248942,220618619.7,2235630322,3165349498,0,3165349498,83796190.55,0,83796190.55,347780061,0,347780061,419144365.1,40010755.91,379133609.2,808943706.2,0,808943706.2,97911347.35,0,97911347.35,4670708387,0,4670708387,89483554.03,8091267.206,81392286.82,22412898.69,0,22412898.69,490378970.8,0,490378970.8,482629173.9,0,482629173.9,953929727.7,0,953929727.7,451754109,0,451754109
257973268.5,0,257973268.5,2459269253,1083975624,1375293629,2520039616,197605223.3,2322434393,3273086163,0,3273086163,99749950.66,0,99749950.66,367114446.4,0,367114446.4,415770422.9,40319555.29,375450867.6,871638627.4,0,871638627.4,123867289.2,0,123867289.2,4937716770,0,4937716770,95150152.35,7945479.121,87204673.23,22401284.86,0,22401284.86,482108010.9,0,482108010.9,473498663.3,0,473498663.3,984780128.2,0,984780128.2,504417859.5,0,504417859.5
266052620.7,0,266052620.7,2459847812,1124800530,1335047282,2440722870,190856087.9,2249866782,3057573945,0,3057573945,88274832.1,0,88274832.1,356602011.3,0,356602011.3,413224089.8,40558513.68,372665576.1,830635688.6,0,830635688.6,126807574.1,0,126807574.1,4524994201,0,4524994201,96218146.28,8063272.123,88154874.15,19840764.54,0,19840764.54,465815809.7,0,465815809.7,457413568.1,0,457413568.1,937088524.3,0,937088524.3,478897520.3,0,478897520.3
251096162.8,38996.69873,251057166.1,2456819477,1164438545,1292380932,2289096447,186529825.3,2102566622,2877697509,0,2877697509,75675899.68,0,75675899.68,340517509,0,340517509,412770409.5,40774833.33,371995576.2,796448651.3,0,796448651.3,122100506,0,122100506,4084095664,0,4084095664,90560048.9,5162855.599,85397193.3,17663045.01,0,17663045.01,469588093.3,0,469588093.3,464092178.2,0,464092178.2,914660964.8,0,914660964.8,455591578.6,0,455591578.6
242939088.3,0,242939088.3,2406394416,1101756299,1304638117,2567069971,277671250.7,2289398720,3568281529,0,3568281529,89960708.95,0,89960708.95,338188118.4,0,338188118.4,412406525.3,40932185.9,371474339.4,945951722.1,0,945951722.1,114604634.4,0,114604634.4,4757283216,0,4757283216,95181166.08,131292.0245,95049874.05,34337181.75,0,34337181.75,483795168.9,0,483795168.9,481719248.2,0,481719248.2,958272943.8,0,958272943.8,490287105.8,0,490287105.8
213971700.3,18077.77066,213953622.6,2417856671,1096341133,1321515539,3375565503,451770920.4,2923794583,4404001048,0,4404001048,91798394.18,0,91798394.18,319683083.8,0,319683083.8,237106046.2,21284709.1,215821337.1,958340641.9,0,958340641.9,108480261.4,0,108480261.4,4688613754,0,4688613754,108280138,147632.4109,108132505.6,41472696.64,0,41472696.64,509661386.8,0,509661386.8,513242711.3,0,513242711.3,983074403,0,983074403,462073397.6,0,462073397.6
206467582.7,0,206467582.7,2417966333,1149441103,1268525230,2815974348,481942047.6,2334032300,4042461954,0,4042461954,78062006.29,0,78062006.29,305380272.5,0,305380272.5,234127956.3,18325785.56,215802170.7,914562713.5,0,914562713.5,100606105.9,0,100606105.9,4432718831,0,4432718831,105000654,239573.2674,104761080.7,41471341.44,0,41471341.44,535896910.7,0,535896910.7,544760045.5,0,544760045.5,972366256.7,0,972366256.7,529485153.9,0,529485153.9
197570717.5,0,197570717.5,2498413323,1177909821,1320503503,2809255990,566109864.6,2243146126,4711818401,0,4711818401,71468875.18,0,71468875.18,296421191.6,0,296421191.6,259913899.9,14886148.26,245027751.6,886668013.3,0,886668013.3,103348920.3,0,103348920.3,4279977996,0,4279977996,106870470.3,1000975.469,105869494.9,42672051.18,0,42672051.18,550976630.1,0,550976630.1,562710228.2,0,562710228.2,975844946.3,0,975844946.3,412868429.5,0,412868429.5
212344016.5,0,212344016.5,2504518310,1215747324,1288770986,3370320686,690061430.6,2680259255,4417052351,0,4417052351,62323789.95,0,62323789.95,289279026.5,0,289279026.5,224367851.7,12138173.88,212229677.8,0,0,0,100814214.4,0,100814214.4,13369224.46,0,13369224.46,105267887.7,2433900.962,102833986.8,42330264.65,0,42330264.65,32739843.01,0,32739843.01,18092508.25,0,18092508.25,881272999.3,0,881272999.3,479963515.6,0,479963515.6
